Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Surgical Drill,PHI158,Philips Healthcare,Version 10,18-04-2015,Class I,UKCA79188,Adult (18-65),Indicated for blood pressure analysis in laboratory diagnostic testing environments.,Avoid use in patients with severe hypertension or altered consciousness.,Chemical Sterilization,17,26,5,13.97,21,2015,2.706048198,2015,4,18,43,Low,2015
CPAP Machine,CON151,Convatec,v1.2,7-03-2024,Class IIa,PMDA-753983,Infant (0-2),Intended for quality control support in cardiac catheterization laboratory environments.,Avoid use if patient has pacemakers or history of blood clots.,Not Applicable,6,6,10,8.73,10,2024,2.275213896,2024,3,7,12,Very Low,2024
Syringe Pump,Model 6705,Boston Scientific,2024-11-V,30-03-2023,Class II,K910907,Adult (18-65),Intended for monitoring and measuring hemoglobin levels in trauma patients in hospital and clinical settings.,Not recommended for use in critically ill patients or those with active infections.,Steam Sterilization,10,17,5,5.71,34,2023,1.903598951,2023,3,30,27,Very Low,2023
Catheter,X-4436,Aesculap,Version 8,23-01-2016,Class I,PMDA-853169,Adult and Pediatric,Indicated for real-time temperature assessment in emergency department triage protocols.,Do not use in patients with stroke or severe epilepsy.,Single-Use Sterile,10,7,13,13.11,16,2016,2.646883766,2016,1,23,17,Low,2016
Patient Monitor,DEX308,Convatec,Version 19,23-04-2024,Class I,HC-784835,All,Designed for home-based phototherapy in stable pediatric patients with chronic renal failure.,Contraindicated in patients with severe diabetes or severe pacemakers.,Pre-Sterilized,10,11,5,4.34,14,2024,1.675225653,2024,4,23,21,Very Low,2024
X-Ray Machine,Model 5022,Intuitive Surgical,2024-04-X,30-11-2016,Class III,UKCA43955,Geriatric,Indicated for oxygen saturation analysis in laboratory diagnostic testing environments.,Do not use in patients with coagulopathy or severe severe hypertension.,Ethylene Oxide (EtO),5,3,8,3.1,24,2016,1.410986974,2016,11,30,8,Very Low,2016
Pacemaker,C-5712,Sonova,Rev. 2.1,27-01-2024,Class I,P894040,Adult (>65),Used for intraoperative quality control monitoring during complex laparoscopic surgeries.,Do not use in patients with autoimmune disorders. Contraindicated in unstable patient conditions.,UV Sterilization,2,10,15,0.06,40,2024,0.058268908,2024,1,27,12,Very Low,2024
Catheter,Model 288,Boston Scientific,Rev. 8.8,16-09-2022,Class III,Q364693,All,Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.,Avoid use in patients with epilepsy or severe severe hypertension.,Dry Heat,2,7,4,16.22,38,2022,2.846071499,2022,9,16,9,Low,2022
Surgical Robot,Max157,Edwards Lifesciences,v13.2,4-10-2015,Class I,BLA667939,Geriatric,Intended for measurement support in cardiac catheterization laboratory environments.,"Not recommended during pregnancy, lactation, or in organ transplant under 21 years.",Dry Heat,15,24,4,10.27,31,2015,2.422144328,2015,10,4,39,Low,2015
Orthopedic Implant,GET527,Getinge,Version 11,10-07-2019,Class IIa,BLA301637,Pediatric,Indicated for emergency oxygen saturation stabilization in trauma center resuscitation rooms.,Not recommended for use in trauma patients or those with active infections.,Not Applicable,2,4,22,0.14,40,2019,0.131028262,2019,7,10,6,Very Low,2019
Patient Monitor,SAR986,Sartorius,Rev. 1.3,29-12-2018,Class II,NDA556992,Pediatric (2-18),Used for pain management guidance in oncology treatment centers for cancer patients.,Avoid use in patients with malignant hyperthermia or altered consciousness.,Single-Use Sterile,10,12,10,3.75,19,2018,1.558144618,2018,12,29,22,Very Low,2018
Digital Thermometer,C-4950,Dentsply Sirona,2020-11-L,3-02-2017,Class IIa,IDE296175,Adult and Pediatric,Used for oxygen therapy administration in pediatric hospital units under specialist supervision.,Avoid use in patients with pulmonary edema or altered consciousness.,UV Sterilization,4,9,4,15.51,27,2017,2.803966258,2017,2,3,13,Low,2017
Surgical Robot,INT189,Intuitive Surgical,v5.8,2-02-2025,Class III,IDE605431,Infant (0-2),Used for thermal therapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with severe diabetes or unable to follow instructions.,Gamma Irradiation,9,27,4,0.56,28,2025,0.444685821,2025,2,2,36,Very Low,2025
Defibrillator,Max286,Johnson & Johnson,Version 4,24-05-2025,Class III,NMPA-539754,Pediatric (2-18),Intended for imaging verification in quality assurance and device validation protocols.,Do not use in patients with malignant hyperthermia. Contraindicated in electromagnetic interference zones.,Chemical Sterilization,21,27,9,16.05,21,2025,2.836150204,2025,5,24,48,Low,2025
Wound Care System,C-4061,Steris,2023-05-G,13-08-2025,Class III,Q635239,Adult (>65),Used for chemotherapy guidance in oncology treatment centers for cancer patients.,Do not use in combination with iodine compounds or electrotherapy modalities.,UV Sterilization,9,14,14,13.63,31,2025,2.683074215,2025,8,13,23,Low,2025
Surgical Drill,X-3155,Stryker,2023-01-E,21-09-2015,Class II,UKCA45260,Adult (>65),Used for emergency hemodialysis in acute stroke situations requiring immediate care.,Do not use if malformations is present or wound is infected.,Not Applicable,17,24,12,14.15,32,2015,2.718000532,2015,9,21,41,Low,2015
Ultrasound Scanner,Pro311,Intuitive Surgical,Version 15,23-11-2022,Class I,PMDA-929081,Adult,Intended for measurement guidance during minimally invasive endoscopic procedures.,Do not use in patients with severe anemia. Contraindicated in infectious disease isolation.,Steam Sterilization,6,5,5,8.11,15,2022,2.209372711,2022,11,23,11,Very Low,2022
X-Ray Machine,MÖL679,Mölnlycke Health Care,2020-11-E,3-08-2018,Class IIb,CE8425,Infant (0-2),Intended for patient positioning support in cardiac catheterization laboratory environments.,Contraindicated in patients with uncontrolled seizures or on corticosteroids.,Not Applicable,2,10,7,10.76,11,2018,2.464703942,2018,8,3,12,Low,2018
Electrosurgical Unit,Plus552,Zimmer Biomet,Rev. 7.7,6-11-2018,Class I,CE4197,Pediatric,Intended for blood transfusion delivery in palliative care settings for terminal patients.,Avoid use if patient has uncontrolled seizures or is receiving corticosteroids.,Autoclave,24,18,11,15.51,34,2018,2.803966258,2018,11,6,42,Low,2018
Anesthesia Machine,Max665,Coloplast,Rev. 7.9,5-01-2023,Class I,H818172,Adult and Pediatric,Designed for perioperative blood gas analysis management during gastroenterological interventions.,Contraindicated in patients with pregnancy or on alcohol-based solutions.,Pre-Sterilized,17,27,19,34,26.7,2023,3.555348061,2023,1,5,44,Heavy,2023
Anesthesia Machine,A-3310,Alcon,v13.6,18-03-2021,Class I,MDR-338237,All,Intended for device maintenance guidance during minimally invasive emergency procedures.,Do not use during general anesthesia administration or in sedated.,Autoclave,14,12,13,78.89,36,2021,4.380650688,2021,3,18,26,Very Heavy,2021
Dialysis Machine,Model 4852,Resmed,Rev. 5.3,26-11-2025,Class IIa,CE5437,Adult and Pediatric,Indicated for glucose levels optimization in sleep medicine centers for respiratory disorders.,Contraindicated in patients with severe uncontrolled seizures or uncontrolled pulmonary edema.,Not Applicable,7,9,14,32.6,30,2025,3.514526067,2025,11,26,16,Heavy,2025
Defibrillator,Model 9767,Terumo,Rev. 6.2,21-01-2023,Class IIa,BLA748776,Adult (>65),Designed for catheterization facilitation in telemedicine and remote patient monitoring.,Not recommended for use in chemotherapy patients or those with malignant hyperthermia.,Single-Use Sterile,19,28,8,4.95,26,2023,1.78339122,2023,1,21,47,Very Low,2023
Electrosurgical Unit,WAT738,Waters Corporation,2020-06-X,7-04-2018,Class IIa,HC-777719,Infant (0-2),Indicated for continuous central venous pressure monitoring during gastroenterological surgical procedures.,Do not use if battery depletion is detected or quality control has expired.,Not Applicable,21,16,5,19.46,33,2018,3.018471761,2018,4,7,37,Low,2018
Blood Glucose Monitor,MÖL946,Mölnlycke Health Care,Version 4,30-12-2017,Class IIa,HDE399045,Adult (18-65),Intended for surgical gastroenterological procedures in operating room settings.,Avoid use in patients with active peripheral vascular disease or compromised cardiovascular function.,Not Applicable,12,9,3,0.25,32,2017,0.223143551,2017,12,30,21,Very Low,2017
Electrosurgical Unit,Max429,Baxter International,v7.8,1-07-2021,Class I,TGA-743951,All,Indicated for diagnostic documentation to assess critical illness in clinical environments.,Do not use in patients with sepsis. Contraindicated in oxygen-rich environments.,Not Applicable,20,21,14,17.62,30,2021,2.924236272,2021,7,1,41,Low,2021
Pulse Oximeter,RIC100,Richard Wolf,v8.3,28-05-2016,Class IIb,H448961,Pediatric (2-18),Used for emergency medication administration in acute chronic conditions situations requiring immediate care.,Avoid use in patients with severe diabetes or altered cognitive function.,Dry Heat,3,11,3,0.2,26,2016,0.182321557,2016,5,28,14,Very Low,2016
Pulse Oximeter,Pro719,Becton Dickinson,v6.4,3-11-2019,Class III,IVDR-993544,Adult (>65),Designed for surgical assistance assistance in geriatric care facilities for elderly patients.,Not recommended for use in ventilator-dependent patients or those with severe osteoporosis.,Hydrogen Peroxide Plasma,3,11,6,0.27,16,2019,0.2390169,2019,11,3,14,Very Low,2019
X-Ray Machine,A-6466,Getinge,v10.8,16-11-2022,Class IIa,PMDA-627528,Geriatric,Designed for home-based pain management in stable morbidly obese patients with chronic infectious diseases.,Do not use in patients with metal implants. Contraindicated in power outages.,Ethylene Oxide (EtO),2,5,14,18.19,24,2022,2.95438931,2022,11,16,7,Low,2022
Surgical Robot,CON104,Convatec,2021-03-I,17-10-2024,Class IIb,IDE219097,All,Indicated for cardiac output optimization in sleep medicine centers for respiratory disorders.,Do not use if battery depletion is detected or quality control has expired.,Hydrogen Peroxide Plasma,21,28,6,7.97,18,2024,2.193885676,2024,10,17,49,Very Low,2024
CPAP Machine,Pro609,Alcon,2021-07-Y,18-04-2015,Class IIa,K663348,Pediatric,Designed for perioperative cardiac output management during gastroenterological interventions.,Do not use in patients with stroke. Contraindicated in power outages.,Steam Sterilization,8,14,8,15.25,22,2015,2.788092909,2015,4,18,22,Low,2015
Ventilator,A-3219,Align Technology,2024-01-S,17-01-2021,Class II,HDE680438,Infant (0-2),Designed for perioperative pulmonary function management during thoracic interventions.,Do not use if battery depletion is detected or quality control has expired.,Single-Use Sterile,19,18,15,103.69,45,2021,4.651003602,2021,1,17,37,Very Heavy,2021
Dialysis Machine,Plus602,Convatec,Version 5,11-10-2018,Class II,CE5653,Adult and Pediatric,Intended for monitoring and measuring cardiac output in trauma patients in hospital and clinical settings.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Chemical Sterilization,6,18,20,45.54,32,2018,3.840312158,2018,10,11,24,Very Heavy,2018
Digital Thermometer,Z-9007,Cooper Companies,2022-07-N,7-05-2018,Class III,Q349037,Adult,Intended for quality control support in cardiac catheterization laboratory environments.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,9,5,3,0.15,31,2018,0.139761942,2018,5,7,14,Very Low,2018
Anesthesia Machine,SYN901,Synthes,Version 1,13-02-2021,Class III,D129501,Adult,Designed for home-based cardiac therapy in stable mentally impaired patients with chronic cancer.,Do not use in patients with severe cardiac arrhythmias. Contraindicated in infectious disease isolation.,Single-Use Sterile,14,15,9.758918071,97.92,20,2021,4.594311443,2021,2,13,29,Very Heavy,2021
Ventilator,Max340,Thermo Fisher Scientific,Rev. 10.7,10-11-2019,Class IIb,NDA377634,Pediatric,Intended for monitoring and measuring heart rate in terminally ill patients in hospital and clinical settings.,Do not use in patients with sepsis. Contraindicated in underwater environments.,Steam Sterilization,22,29,9,47.43,43,2019,3.880119456,2019,11,10,51,Very Heavy,2019
CPAP Machine,Max829,Siemens Healthineers,Rev. 1.1,22-02-2015,Class IIb,IVDR-994125,Neonatal,Used for post-operative compression therapy management in hospital recovery units.,Contraindicated in presence of iodine compounds or during defibrillation.,Gamma Irradiation,4,8,14,4.18,38,2015,1.644805056,2015,2,22,12,Very Low,2015
Catheter,Pro398,3M Healthcare,2022-03-K,30-10-2020,Class III,IVDR-906088,Adult,Intended for medication administration delivery in palliative care settings for terminal patients.,Do not use during local anesthesia administration or in comatose.,Not Applicable,9,11,11,9.15,25,2020,2.317473705,2020,10,30,20,Very Low,2020
Digital Thermometer,B-4012,Coloplast,2025-11-K,9-04-2024,Class I,P414899,Infant (0-2),Designed for home-based cardiac therapy in stable dialysis-dependent patients with chronic trauma.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,Steam Sterilization,9,12,6,0.24,33,2024,0.21511138,2024,4,9,21,Very Low,2024
Anesthesia Machine,Pro691,Cooper Companies,2022-06-C,17-09-2024,Class IIb,PMA307523,Pediatric,Designed for medication administration facilitation in telemedicine and remote patient monitoring.,Do not use if battery depletion is detected or quality control has expired.,Gamma Irradiation,22,29,11,43.23,21,2024,3.789403292,2024,9,17,51,Very Heavy,2024
Pulse Oximeter,Model 4172,Sonova,Version 18,22-01-2024,Class III,MDR-195728,Adult and Pediatric,Intended for imaging verification in quality assurance and device validation protocols.,Avoid use in patients with severe hypertension or severe severe cardiac arrhythmias.,Hydrogen Peroxide Plasma,10,5,3,0.18,25,2024,0.165514438,2024,1,22,15,Very Low,2024
ECG Machine,Model 4671,Zimmer Biomet,v3.7,8-12-2018,Class III,BLA109103,Pediatric,Designed for joint replacement facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with immunodeficiency or severe skin allergies.,Single-Use Sterile,8,15,5,9.14,36,2018,2.316487998,2018,12,8,23,Very Low,2018
Infusion Pump,C-6932,Baxter International,2021-08-Z,10-02-2017,Class IIb,TGA-123558,Adult and Pediatric,Designed for stent placement support in neonatal intensive care environments.,Do not use if patient has known allergy to chemotherapy drugs or hypersensitivity to antiseptics.,Pre-Sterilized,9,12,9,4,20,2017,1.609437912,2017,2,10,21,Very Low,2017
CPAP Machine,Model 6733,Baxter International,2020-08-D,22-09-2022,Class IIb,Q965025,Pediatric (2-18),Intended for surgical orthopedic procedures in operating room settings.,Avoid use if patient has severe anemia or history of blood clots.,UV Sterilization,7,3,11,16.08,10,2022,2.837908188,2022,9,22,10,Low,2022
Surgical Drill,SIE381,Siemens Healthineers,v13.1,11-07-2020,Class III,Q336013,Neonatal,Designed for patient rehabilitation in patients with hypertension under medical supervision.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,18,27,8,12.7,33,2020,2.617395833,2020,7,11,45,Low,2020
Stent,Model 1735,Nipro Corporation,2023-08-X,6-11-2024,Class I,Q537713,Pediatric (2-18),Intended for specimen collection guidance during minimally invasive minimally invasive procedures.,Not suitable for use during shock wave therapy or X-ray.,Chemical Sterilization,7,15,15,0.06,42,2024,0.058268908,2024,11,6,22,Very Low,2024
Electrosurgical Unit,Model 4505,Zimmer Biomet,Rev. 4.3,10-11-2019,Class IIa,MDR-658320,Neonatal,Indicated for diagnostic alarm management to assess critical illness in clinical environments.,Do not use during general anesthesia administration or in comatose.,Steam Sterilization,11,13,14,12.28,19,2019,2.586259144,2019,11,10,24,Low,2019
Surgical Drill,Plus150,Sonova,Version 6,22-03-2024,Class I,K930077,Pediatric,Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Do not use if patient has known allergy to vasoconstrictors or hypersensitivity to antibiotics.,Chemical Sterilization,20,28,8,15.51,36,2024,2.803966258,2024,3,22,48,Low,2024
Defibrillator,Max227,Hologic,2023-05-Y,30-03-2025,Class IIb,BLA167556,Adult (>65),Designed for perioperative pH levels management during cardiac interventions.,Do not use if structural defects is present or incision is infected.,Autoclave,15,26,11,9.31,36,2025,2.333114298,2025,3,30,41,Very Low,2025
Pulse Oximeter,RES318,Resmed,Version 10,17-11-2025,Class I,CE5653,Pediatric,Indicated for real-time intracranial pressure assessment in emergency department triage protocols.,Do not use if structural defects is present or wound is infected.,Single-Use Sterile,7,9,6,0.3,27,2025,0.262364264,2025,11,17,16,Very Low,2025
Blood Glucose Monitor,Plus569,Convatec,v1.1,31-05-2025,Class III,NDA658232,Adult (>65),Intended for measurement verification in quality assurance and device validation protocols.,Avoid use if patient has stroke or history of blood clots.,Pre-Sterilized,15,18,9.758918071,0.41,27,2025,0.343589704,2025,5,31,33,Very Low,2025
Anesthesia Machine,X-9272,Zimmer Biomet,v8.6,6-04-2022,Class III,D772489,Adult (18-65),Designed for home-based chemotherapy in stable critically ill patients with chronic hypertension.,Not recommended for use in diabetic patients or those with renal insufficiency.,Not Applicable,14,20,15,95.49,13,2022,4.569439376,2022,4,6,34,Very Heavy,2022
Syringe Pump,Pro445,Intuitive Surgical,Rev. 8.3,5-04-2025,Class IIa,MDR-855900,Pediatric,Indicated for ECG readings optimization in sleep medicine centers for respiratory disorders.,Avoid use in patients with epilepsy or severe thrombocytopenia.,Not Applicable,5,13,7,7.13,26,2025,2.095560924,2025,4,5,18,Very Low,2025
Stent,Model 5366,Fresenius Medical Care,2022-08-H,7-04-2023,Class IIb,NMPA-854589,Pediatric,Indicated for electrolyte balance surveillance in infection control protocols.,Contraindicated in patients with severe epilepsy or uncontrolled coagulopathy.,UV Sterilization,3,15,6,0.13,39,2023,0.122217633,2023,4,7,18,Very Low,2023
Surgical Drill,Pro380,Convatec,Rev. 9.5,5-11-2025,Class III,K759245,Adult (18-65),Indicated for glucose levels surveillance in infection control protocols.,Not suitable for use with cleaning solvents or in extreme temperature environments.,Chemical Sterilization,10,14,8,10.5,19,2025,2.442347035,2025,11,5,24,Low,2025
Digital Thermometer,OLY399,Olympus Corporation,2024-01-W,9-05-2018,Class I,CE5145,Pediatric,Designed for surgical assistance in patients with cancer under medical supervision.,Contraindicated in patients with severe active infections or uncontrolled thrombocytopenia.,Chemical Sterilization,3,6,6,0.24,25,2018,0.21511138,2018,5,9,9,Very Low,2018
Pulse Oximeter,Plus768,Biomérieux,v1.6,17-02-2016,Class III,HDE507614,Adult (18-65),Indicated for emergency blood pressure stabilization in trauma center resuscitation rooms.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Steam Sterilization,4,13,3,0.34,30,2016,0.292669614,2016,2,17,17,Very Low,2016
Ventilator,C-3163,Align Technology,2024-04-F,26-11-2022,Class I,D123486,Infant (0-2),Designed for tissue biopsy facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with metal implants or altered consciousness.,Single-Use Sterile,12,22,10,95.66,21,2022,4.571199666,2022,11,26,34,Very Heavy,2022
ECG Machine,PHI368,Philips Healthcare,Version 2,11-07-2019,Class I,PMDA-250198,Pediatric,Designed for diagnostic assessment in patients with cardiac disorders under medical supervision.,Do not use if sensor failure is detected or routine maintenance has expired.,Chemical Sterilization,2,5,6,5.66,19,2019,1.896119485,2019,7,11,7,Very Low,2019
Digital Thermometer,Plus980,Waters Corporation,2024-07-G,24-03-2018,Class I,BLA254675,Pediatric (2-18),Indicated for respiratory rate optimization in sleep medicine centers for respiratory disorders.,Do not use if battery depletion is detected or quality control has expired.,Single-Use Sterile,5,9,3,0.49,27,2018,0.39877612,2018,3,24,14,Very Low,2018
Orthopedic Implant,Model 2397,Hologic,Version 8,1-04-2019,Class I,PMA733144,Adult,Indicated for oxygen saturation analysis in laboratory diagnostic testing environments.,Do not use if battery depletion is detected or routine maintenance has expired.,Gamma Irradiation,7,13,5,0.02,39,2019,0.019802627,2019,4,1,20,Very Low,2019
Digital Thermometer,A-6832,Sartorius,Rev. 2.9,10-06-2017,Class III,NDA590857,All,Indicated for pulmonary function surveillance in infection control protocols.,Do not use if patient has known allergy to alcohol-based solutions or hypersensitivity to chemotherapy drugs.,Hydrogen Peroxide Plasma,2,6,4,0.37,22,2017,0.31481074,2017,6,10,8,Very Low,2017
Dialysis Machine,Model 3297,Align Technology,Rev. 8.9,22-09-2021,Class III,NDA601009,Adult (>65),Used for intraoperative monitoring monitoring during complex neurological surgeries.,Contraindicated in patients with severe pacemakers or uncontrolled coagulopathy.,UV Sterilization,14,18,13,38.65,14,2021,3.680090948,2021,9,22,32,Heavy,2021
Pulse Oximeter,Z-8667,Cooper Companies,Version 6,22-11-2021,Class IIa,BLA192391,Adult (>65),Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,"Not recommended during pregnancy, lactation, or in hemodynamically unstable under 15 years.",Not Applicable,3,6,6,0.12,31,2021,0.113328685,2021,11,22,9,Very Low,2021
Insulin Pump,ABB722,Abbott,Version 12,27-02-2019,Class III,NDA554205,Infant (0-2),Intended for continuous monitoring evaluation in rehabilitation medicine for stroke recovery.,Do not use in patients with bleeding disorders. Contraindicated in extreme temperature environments.,Steam Sterilization,8,10,11,2.67,11,2019,1.300191662,2019,2,27,18,Very Low,2019
Wound Care System,ALC564,Alcon,Rev. 7.6,26-06-2020,Class II,CE7756,Pediatric,Indicated for blood gas analysis analysis in laboratory diagnostic testing environments.,Not suitable for use with antibiotics or in extreme temperature environments.,Chemical Sterilization,4,12,10,6.24,17,2020,1.979621206,2020,6,26,16,Very Low,2020
Ventilator,B-9900,Sonova,v13.6,5-04-2025,Class III,D603396,Adult (>65),Indicated for diagnostic patient positioning to assess critical illness in clinical environments.,Avoid use if patient has bleeding disorders or history of blood clots.,UV Sterilization,12,29,12,148.11,22,2025,5.004684289,2025,4,5,41,Very Heavy,2025
Insulin Pump,X-3069,B. Braun,Rev. 4.4,27-09-2024,Class III,D313496,Geriatric,Used for post-operative thermal therapy management in hospital recovery units.,Not recommended in presence of epilepsy or at open wounds locations.,UV Sterilization,11,19,7,7.01,37,2024,2.080690761,2024,9,27,30,Very Low,2024
Wound Care System,Max281,Steris,Rev. 7.0,5-05-2017,Class III,Q647510,Geriatric,Indicated for intracranial pressure surveillance in infection control protocols.,Avoid use in patients with severe osteoporosis or severe epilepsy.,Dry Heat,2,13,8,14.37,11,2017,2.732417558,2017,5,5,15,Low,2017
Wound Care System,BIO978,Biomérieux,2020-12-D,30-09-2022,Class IIb,CE6923,Adult (18-65),Intended for surgical urological procedures in operating room settings.,Contraindicated in patients with thrombocytopenia or severe acute myocardial infarction.,Not Applicable,10,5,6,3.57,35,2022,1.519513205,2022,9,30,15,Very Low,2022
Digital Thermometer,HOL893,Hologic,Rev. 3.6,25-08-2024,Class I,NDA936709,Infant (0-2),Indicated for real-time glucose levels assessment in emergency department triage protocols.,Do not use during local anesthesia administration or in comatose.,Gamma Irradiation,3,12,6,0.28,15,2024,0.246860078,2024,8,25,15,Very Low,2024
Defibrillator,GE 292,Ge Healthcare,v11.3,7-07-2024,Class II,IVDR-619091,Adult and Pediatric,Used for therapeutic electrotherapy in radiation therapy patients requiring medication administration.,Avoid use if patient has pulmonary edema or history of blood clots.,Hydrogen Peroxide Plasma,11,25,11,16.68,38,2024,2.872434057,2024,7,7,36,Low,2024
Surgical Robot,Model 5906,Philips Healthcare,Rev. 5.8,5-10-2015,Class III,UKCA32311,Adult,Designed for medication administration support in neonatal intensive care environments.,Contraindicated in patients with epilepsy or on chemotherapy drugs.,Chemical Sterilization,23,22,9.758918071,3.25,37,2015,1.446918983,2015,10,5,45,Very Low,2015
Syringe Pump,X-5687,Danaher,Rev. 2.7,29-08-2019,Class III,UKCA98529,Adult (18-65),Used for intraoperative sterilization monitoring during complex orthopedic surgeries.,Do not use if battery depletion is detected or quality control has expired.,Autoclave,12,16,10,4.7,35,2019,1.740466175,2019,8,29,28,Very Low,2019
Infusion Pump,C-7258,Becton Dickinson,2021-05-S,29-03-2025,Class I,CE7181,Adult (>65),Designed for patient rehabilitation in patients with orthopedic injuries under medical supervision.,Avoid use in patients with autoimmune disorders or uncontrolled bleeding disorders.,Single-Use Sterile,6,12,10,3.34,31,2025,1.467874348,2025,3,29,18,Very Low,2025
Patient Monitor,B-2028,Philips Healthcare,Version 14,5-01-2022,Class IIb,Q367446,Adult (18-65),Indicated for ECG readings analysis in laboratory diagnostic testing environments.,Avoid use in patients with acute myocardial infarction or severe severe cardiac arrhythmias.,Dry Heat,12,16,6,15.51,30,2022,2.803966258,2022,1,5,28,Low,2022
Ventilator,SYN833,Synthes,2021-11-F,7-06-2023,Class I,CE5653,Infant (0-2),Intended for surgical reconstructive procedures in operating room settings.,Not recommended in presence of severe anemia or at infected areas locations.,UV Sterilization,15,24,20,105.75,25,2023,4.670489652,2023,6,7,39,Very Heavy,2023
Wound Care System,Model 8084,Convatec,Rev. 9.5,26-01-2016,Class I,NMPA-231753,All,Used for therapeutic cardiac therapy in organ transplant patients requiring catheterization.,Avoid use in patients with dental implants or screws and rods. Not suitable for underwater environments.,Not Applicable,7,12,9.758918071,5.1,18,2016,1.808288771,2016,1,26,19,Very Low,2016
CPAP Machine,Model 2859,Cooper Companies,v12.0,14-11-2020,Class III,PMDA-102228,All,Used for emergency mechanical ventilation in acute chronic conditions situations requiring immediate care.,Not recommended for patients with severe anemia or severe metal implants.,Pre-Sterilized,6,5,13,16.99,26.7,2020,2.889816048,2020,11,14,11,Low,2020
Nebulizer,Pro538,Thermo Fisher Scientific,Rev. 8.4,5-08-2020,Class I,TGA-391027,Neonatal,Indicated for routine calibration screening in outpatient clinical facilities.,Do not use if sensor failure is detected or quality control has expired.,UV Sterilization,4,5,8,3.55,24,2020,1.515127233,2020,8,5,9,Very Low,2020
Pacemaker,Max794,Sonova,Version 1,12-03-2021,Class IIb,IVDR-666304,Pediatric (2-18),Used for long-term electrotherapy delivery in ambulatory care settings for sleep apnea patients.,Do not use in combination with metallic particles or thermal therapy modalities.,Not Applicable,6,7,16,0.12,41,2021,0.113328685,2021,3,12,13,Very Low,2021
Blood Glucose Monitor,THE215,Thermo Fisher Scientific,Version 14,30-07-2023,Class IIa,CE1013,Pediatric (2-18),Used for post-operative pain management management in hospital recovery units.,Do not use if battery depletion is detected or quality control has expired.,Not Applicable,11,8,7,0.37,25,2023,0.31481074,2023,7,30,19,Very Low,2023
CPAP Machine,GET543,Getinge,v10.8,5-05-2022,Class I,CE4730,Adult (18-65),Designed for mobility restoration assistance in geriatric care facilities for elderly patients.,Do not use in patients with skin allergies. Contraindicated in storage conditions.,Not Applicable,4,14,6,18.38,26,2022,2.964241606,2022,5,5,18,Low,2022
X-Ray Machine,B-1600,Siemens Healthineers,Version 16,9-05-2017,Class III,NDA171868,Adult and Pediatric,Indicated for routine documentation screening in outpatient clinical facilities.,Do not use if patient has known allergy to radioactive materials or hypersensitivity to bronchodilators.,Steam Sterilization,3,14,13,8.28,37,2017,2.227861547,2017,5,9,17,Very Low,2017
CPAP Machine,Model 9876,Baxter International,Version 10,4-04-2019,Class I,BLA549505,Neonatal,Used for post-operative phototherapy management in hospital recovery units.,"Not recommended during pregnancy, lactation, or in unconscious under 17 years.",Dry Heat,7,5,4,18.25,29,2019,2.957511061,2019,4,4,12,Low,2019
Anesthesia Machine,Model 5370,Cooper Companies,v13.8,13-05-2023,Class II,TGA-403552,Adult (18-65),Indicated for pulmonary function analysis in laboratory diagnostic testing environments.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,8,30,15,27.58,15,2023,3.352707173,2023,5,13,38,Medium,2023
Pulse Oximeter,Pro250,Becton Dickinson,v7.7,15-06-2021,Class IIb,CE2047,Neonatal,Used for intraoperative alarm management monitoring during complex vascular surgeries.,Contraindicated in patients with severe thrombocytopenia or uncontrolled severe osteoporosis.,Dry Heat,2,8,4,0.42,23,2021,0.350656872,2021,6,15,10,Very Low,2021
Pacemaker,Z-3230,Dentsply Sirona,Version 16,12-05-2020,Class IIa,K354707,Neonatal,Used for therapeutic thermal therapy in post-operative patients requiring intubation.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,5,3,15,0.17,38,2020,0.157003749,2020,5,12,8,Very Low,2020
Catheter,B-2630,Dexcom,2022-02-F,26-04-2022,Class III,HC-621232,Geriatric,Indicated for diagnostic assessment to assess diabetes in clinical environments.,Avoid use in patients with pregnancy or altered cognitive function.,UV Sterilization,6,14,10,7.92,19,2022,2.188295947,2022,4,26,20,Very Low,2022
